time,decision
719,Coordination
720,Coordination
721,Coordination
722,Coordination
723,Coordination
724,Coordination
725,Coordination
726,Coordination
727,Coordination
728,Coordination
729,Coordination
730,Coordination
731,Coordination
732,Coordination
733,Coordination
734,Coordination
735,Coordination
736,Coordination
737,Coordination
738,Coordination
739,Coordination
740,Coordination
741,Coordination
742,Coordination
743,Coordination
744,Coordination
745,Coordination
746,Coordination
747,Coordination
748,Coordination
749,Coordination
750,Coordination
751,Coordination
752,Coordination
753,Coordination
754,Coordination
755,Coordination
756,Coordination
757,Coordination
758,Coordination
759,Coordination
760,Coordination
761,Coordination
762,Coordination
763,Coordination
764,Coordination
765,Coordination
766,Coordination
767,Coordination
768,Coordination
769,Coordination
770,Coordination
771,Coordination
772,Coordination
773,Coordination
774,Coordination
776,No interaction
777,No interaction
778,No interaction
779,No interaction
780,No interaction
781,No interaction
782,No interaction
783,No interaction
784,No interaction
785,No interaction
786,No interaction
787,No interaction
788,No interaction
789,No interaction
790,No interaction
791,No interaction
792,No interaction
793,No interaction
794,No interaction
795,No interaction
796,No interaction
797,No interaction
798,No interaction
799,No interaction
800,No interaction
801,No interaction
802,No interaction
803,No interaction
804,No interaction
805,No interaction
806,No interaction
807,No interaction
808,No interaction
809,No interaction
810,No interaction
811,No interaction
812,No interaction
813,No interaction
814,No interaction
815,No interaction
816,No interaction
817,No interaction
818,No interaction
819,No interaction
820,No interaction
821,No interaction
822,No interaction
823,No interaction
824,No interaction
825,No interaction
826,No interaction
827,No interaction
828,No interaction
829,No interaction
830,No interaction
831,No interaction
832,No interaction
833,No interaction
834,No interaction
835,No interaction
836,No interaction
837,No interaction
838,No interaction
839,No interaction
840,No interaction
841,No interaction
842,No interaction
843,No interaction
844,No interaction
845,No interaction
846,No interaction
847,No interaction
848,No interaction
849,No interaction
850,No interaction
851,No interaction
852,No interaction
853,No interaction
854,No interaction
855,No interaction
856,No interaction
857,No interaction
858,No interaction
859,No interaction
860,No interaction
861,No interaction
862,No interaction
863,No interaction
864,No interaction
865,No interaction
866,No interaction
867,No interaction
868,No interaction
869,No interaction
870,No interaction
871,No interaction
872,No interaction
873,No interaction
874,No interaction
875,No interaction
876,No interaction
877,No interaction
878,No interaction
879,No interaction
880,No interaction
881,No interaction
882,No interaction
883,No interaction
884,No interaction
885,No interaction
886,No interaction
887,No interaction
888,No interaction
889,No interaction
890,No interaction
891,No interaction
892,No interaction
893,No interaction
894,No interaction
895,No interaction
896,No interaction
897,No interaction
898,No interaction
899,No interaction
900,No interaction
901,No interaction
902,No interaction
903,No interaction
904,No interaction
905,No interaction
906,No interaction
907,No interaction
908,No interaction
909,No interaction
910,No interaction
911,No interaction
912,No interaction
913,No interaction
914,No interaction
915,No interaction
916,No interaction
917,No interaction
918,No interaction
919,No interaction
920,No interaction
921,No interaction
922,No interaction
923,No interaction
924,No interaction
925,No interaction
926,No interaction
927,No interaction
928,No interaction
929,No interaction
930,No interaction
931,No interaction
932,No interaction
933,No interaction
934,No interaction
935,No interaction
936,No interaction
937,No interaction
938,No interaction
939,No interaction
940,No interaction
941,No interaction
942,No interaction
943,No interaction
944,No interaction
945,No interaction
946,No interaction
947,No interaction
948,Information Sharing
949,Information Sharing
950,Information Sharing
951,Information Sharing
952,Information Sharing
953,Information Sharing
954,Information Sharing
955,Information Sharing
956,Information Sharing
957,Information Sharing
958,Information Sharing
959,Information Sharing
960,Information Sharing
962,No interaction
963,No interaction
964,No interaction
965,No interaction
966,No interaction
967,No interaction
968,No interaction
969,No interaction
970,No interaction
971,No interaction
972,No interaction
973,No interaction
974,No interaction
975,No interaction
976,No interaction
977,No interaction
978,No interaction
979,No interaction
980,No interaction
981,No interaction
982,No interaction
983,No interaction
984,No interaction
985,No interaction
986,No interaction
987,No interaction
988,No interaction
989,No interaction
990,No interaction
991,No interaction
992,No interaction
993,No interaction
994,No interaction
995,No interaction
996,No interaction
997,No interaction
998,No interaction
999,No interaction
1000,No interaction
1001,No interaction
1002,No interaction
1003,No interaction
1004,No interaction
1005,No interaction
1006,No interaction
1007,No interaction
1008,No interaction
1009,No interaction
1010,No interaction
1011,No interaction
1012,No interaction
1013,No interaction
1014,No interaction
1015,No interaction
1016,No interaction
1017,No interaction
1018,No interaction
1019,No interaction
1020,No interaction
1021,No interaction
1022,No interaction
1023,No interaction
1024,No interaction
1025,No interaction
1026,No interaction
